"index","names","aic"
"1","US1COGR0070",48.9705140923711
"1","US1ARBX0018",49.1676028977763
"1","US1TXHRR073",49.2761406279825
"1","US1NMBR0184",49.295081081346
"1","US1NCBR0060",49.3751404999143
"1","CA008402R20",49.5048314611752
"1","US1CTFR0027",49.5815970542213
"1","US1TXHRR234",49.7013947168988
"1","US1TXBXR047",49.8027424863164
"1","US1NMBR0275",49.8650836170632
"1","US1TNRD0017",49.9935538129449
"1","US1TNRD0063",50.0101075470583
"1","US1OHRC0011",50.1673899833437
"1","US1TXKR0023",50.2673334674575
"1","US1ILWR0003",50.3778090271179
"1","US1RIPR0002",50.4568980746027
"1","US1SCYR0065",50.5090142629515
"1","US1COGR0041",50.5459399672159
"1","US1MNRM0024",50.7428131025852
"1","US1CAOR0048",50.7719786545295
"1","US1NMSR0022",50.7900618913788
"1","US1NHGR0034",50.9048504371368
"1","US1MAWR0020",50.9207393975971
"1","US1TXBXR077",51.4070808960556
"1","US1MOSR0011",51.6202606696518
"1","US1WIFR0001",51.6963976033758
"1","US1RIPR0012",51.7996450751804
"1","US1NYER0004",52.1354274884839
"1","US1CAFR0016",52.2009648961562
"1","US1MNRM0008",52.213472127859
"1","US1NJWR0016",52.7011620344907
"1","US1TXHRR201",52.7333911223202
"1","US1NJWR0015",52.744449205105
"1","US1TXCMR065",52.8130110467521
"1","US1COLR0452",52.8211699106603
"1","US1MOCR0003",52.884173636545
"1","US1TXBXR167",52.9987559173486
"1","US1WAGR0012",53.0400545449958
"1","US1AZMR0257",53.0743455732202
"1","US1SDBR0006",53.2668965968513
"1","US1SCOR0039",53.288405050605
"1","US1COLR0765",53.2925630052396
"1","US1TNRD0013",53.5325245373606
"1","US1NHMR0023",53.5598258976666
"1","US1OHER0027",53.6227880378743
"1","US1TXRL0010",53.7914299988337
"1","US1CODR0002",53.8633932528953
"1","US1ORBN0050",54.0122472462538
"1","US1AZMR0467",54.0893757480645
"1","US1COLR0056",54.1411034756564
"1","US1TNRD0080",54.2146428175267
"1","US1MEAR0027",54.2848694546012
"1","US1ORCC0018",54.3412054052337
"1","US1KSCR0011",54.5133727526163
