"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00297191","1986-12-19","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0","P,,0","   25",",,0","   67",",,0"," -106",",,0",,,,,"    6",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-20","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0","P,,0","    0",",,0","   56",",,0","  -72",",,0",,,,,"   17",",,0,1800","    1",",,0",,,,,,,,,,
"USC00297191","1986-12-21","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   23",",,0,1800","   25",",,0","   25",",,0","   28",",,0","  -72",",,0",,,,,"  -22",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-22","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","T,,0,1800","    0","T,,0","   25",",,0","   44",",,0","  -33",",,0",,,,,"    0",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-23","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","T,,0","  122",",,0","  -44",",,0",,,,,"    6",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-24","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","T,,0","    6",",,0","  -44",",,0",,,,,"  -39",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-25","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","   28",",,0"," -117",",,0",,,,,"  -39",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-26","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","   44",",,0"," -122",",,0",,,,,"  -33",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-27","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","   61",",,0"," -122",",,0",,,,,"  -83",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-28","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","   33",",,0"," -117",",,0",,,,,"  -33",",,0,1800",,,,,,,,,,,,
